City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Laguna,US,2021-07-29 02:08:48,38.421,-121.4238,103.44,31,1,5.01
67,Vulcan,RO,2021-07-29 02:08:48,45.3833,23.2667,66.92,59,5,2.86
68,Saint-Philippe,RE,2021-07-29 02:08:49,-21.3585,55.7679,67.59,84,100,20.98
69,Qaanaaq,GL,2021-07-29 02:08:49,77.484,-69.3632,42.58,96,100,1.48
70,Hobart,AU,2021-07-29 02:08:42,-42.8794,147.3294,53.26,60,40,5.01
71,Bluff,NZ,2021-07-29 02:08:50,-46.6,168.3333,57.79,70,72,7.9
72,Lesosibirsk,RU,2021-07-29 02:08:50,58.2358,92.4828,56.82,91,100,2.46
73,Sardarshahr,IN,2021-07-29 02:07:16,28.4333,74.4833,82.81,76,96,11.65
74,Chuy,UY,2021-07-29 02:08:50,-33.6971,-53.4616,42.03,75,32,14.5
75,Bengkulu,ID,2021-07-29 02:08:51,-3.8004,102.2655,81.07,72,67,4.18
76,Iquique,CL,2021-07-29 02:08:51,-20.2208,-70.1431,55.44,71,31,5.06
77,Lebu,CL,2021-07-29 02:08:51,-37.6167,-73.65,49.12,77,0,7.36
78,Barrow,US,2021-07-29 02:08:52,71.2906,-156.7887,44.62,93,90,16.11
79,Tamandare,BR,2021-07-29 02:08:52,-8.7597,-35.1047,73.38,86,0,3.24
80,Pacific Grove,US,2021-07-29 02:08:52,36.6177,-121.9166,81.75,83,40,4.0
81,Lasem,ID,2021-07-29 02:08:53,-6.6922,111.4527,81.77,61,14,6.42
82,Castro,BR,2021-07-29 02:08:53,-24.7911,-50.0119,36.97,67,12,9.82
83,Mahebourg,MU,2021-07-29 02:08:54,-20.4081,57.7,71.26,73,100,23.47
84,Kodiak,US,2021-07-29 02:08:54,57.79,-152.4072,60.31,59,90,6.91
85,Mareeba,AU,2021-07-29 02:08:54,-17.0,145.4333,90.32,28,2,2.28
86,Tabas,IR,2021-07-29 02:08:55,33.5959,56.9244,82.04,19,1,10.09
87,Honningsvag,NO,2021-07-29 02:08:55,70.9821,25.9704,46.29,89,100,9.22
88,Padang,ID,2021-07-29 02:08:55,-0.9492,100.3543,81.97,75,32,1.81
89,Khatanga,RU,2021-07-29 02:08:56,71.9667,102.5,69.4,59,78,10.63
90,Dikson,RU,2021-07-29 02:08:56,73.5069,80.5464,38.73,95,95,9.28
91,Hay River,CA,2021-07-29 02:04:45,60.8156,-115.7999,69.31,50,11,4.18
92,Aksu,CN,2021-07-29 02:08:56,41.1231,80.2644,88.65,26,74,2.89
93,Saint Anthony,US,2021-07-29 02:08:57,45.0205,-93.218,91.33,68,1,13.8
94,Margate,GB,2021-07-29 02:07:07,51.3813,1.3862,57.31,82,0,3.0
95,Mizan Teferi,ET,2021-07-29 02:08:57,6.9833,35.5833,61.43,97,100,2.26
96,Polunochnoye,RU,2021-07-29 02:08:57,60.8697,60.4153,43.88,95,100,3.76
97,Tambau,BR,2021-07-29 02:08:58,-21.705,-47.2744,50.65,83,100,7.7
98,Pontianak,ID,2021-07-29 02:08:58,-0.0333,109.3333,84.22,73,70,5.57
99,Cabo San Lucas,MX,2021-07-29 02:08:58,22.8909,-109.9124,91.62,54,1,5.99
100,Banda Aceh,ID,2021-07-29 02:08:59,5.5577,95.3222,84.06,68,99,14.03
101,Korla,CN,2021-07-29 02:08:59,41.7597,86.1469,93.58,17,9,17.54
102,Bako,ET,2021-07-29 02:08:59,5.7833,36.5667,63.48,68,100,3.96
103,Lorengau,PG,2021-07-29 02:09:00,-2.0226,147.2712,85.64,69,55,6.96
104,Shiraz,IR,2021-07-29 02:09:00,29.6036,52.5388,67.44,26,0,0.0
105,Morden,CA,2021-07-29 02:09:01,49.1919,-98.1014,76.66,32,2,15.39
106,Provideniya,RU,2021-07-29 02:09:01,64.3833,-173.3,50.11,81,75,15.66
107,Tuktoyaktuk,CA,2021-07-29 02:09:01,69.4541,-133.0374,50.99,70,99,9.8
108,Villa Carlos Paz,AR,2021-07-29 02:09:02,-31.4241,-64.4978,38.39,64,0,1.01
109,Wenling,CN,2021-07-29 02:09:02,28.3669,121.36,88.92,85,50,12.37
110,Port Hedland,AU,2021-07-29 02:09:02,-20.3167,118.5667,75.25,43,3,14.97
111,Douentza,ML,2021-07-29 02:09:03,14.9951,-2.9517,84.63,61,59,10.27
112,Jamestown,US,2021-07-29 02:05:50,42.097,-79.2353,69.44,64,1,10.36
113,Arraial Do Cabo,BR,2021-07-29 02:09:03,-22.9661,-42.0278,64.54,84,100,21.12
114,Dingle,PH,2021-07-29 02:09:03,10.9995,122.6711,88.09,64,40,16.26
115,Avarua,CK,2021-07-29 02:09:04,-21.2078,-159.775,68.05,94,90,8.05
116,Inhambane,MZ,2021-07-29 02:09:04,-23.865,35.3833,63.63,72,0,2.19
117,Valka,LV,2021-07-29 02:09:04,57.7752,26.0101,61.05,97,100,4.65
118,Mbini,GQ,2021-07-29 02:09:05,1.574,9.6134,75.24,86,75,1.03
